date,vcEwI,vcWoR,vcHvQ,vcvGl,vc8Gr,vcKeu,vcKrE,vcYVn,vchbv,vcP2J,vcLTP,vcJLV,vchA3,vcJkd,vcsBT,vcJsw,vcefl,vcvlY,vcIya,vcOhe,vccJW,vc6YE,vcgkz,vcEhP,vcbIW,total
2020-04-01,72,64,64,80,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,88,8,0,0,968
2020-04-02,72,64,64,80,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,88,8,0,0,968
2020-04-03,72,64,64,80,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,88,8,0,0,968
2020-04-04,72,64,64,80,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,88,8,0,0,968
2020-04-05,72,64,64,80,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,88,8,0,0,968
2020-04-06,72,64,64,80,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,88,8,0,0,968
2020-04-07,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-04-08,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-04-09,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-04-10,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-04-11,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-04-12,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-04-13,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-04-14,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-04-15,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-04-16,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-04-17,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-04-18,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-04-19,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-04-20,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-04-21,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-04-22,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-04-23,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-04-24,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-04-25,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-04-26,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-04-27,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-04-28,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-04-29,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-04-30,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-05-01,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-05-02,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-05-03,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-05-04,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-05-05,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-05-06,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-05-07,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-05-08,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-05-09,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-05-10,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-05-11,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-05-12,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-05-13,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
2020-05-14,72,64,64,160,48,0,32,0,72,48,64,16,0,16,64,0,80,64,0,56,32,8,8,0,0,968
